"GRIDID","CLONG","CLAT","PCNT"
"GRID101023","121.387876","30.78755","0"
"GRID102023","121.393152","30.78755","0"
"GRID103023","121.398427","30.78755","24"
"GRID104023","121.403703","30.78755","0"
"GRID105023","121.408978","30.78755","0"
"GRID106023","121.414254","30.78755","0"
"GRID107023","121.419529","30.78755","0"
"GRID108023","121.424805","30.78755","0"
"GRID109023","121.43008","30.78755","0"
"GRID110023","121.435356","30.78755","0"
"GRID111023","121.440631","30.78755","0"
"GRID112023","121.445907","30.78755","0"
"GRID113023","121.451183","30.78755","0"
"GRID114023","121.456458","30.78755","0"
"GRID115023","121.461734","30.78755","0"
"GRID116023","121.467009","30.78755","0"
"GRID117023","121.472285","30.78755","0"
"GRID118023","121.47756","30.78755","0"
"GRID051024","121.124099","30.792042","0"
"GRID052024","121.129374","30.792042","0"
"GRID053024","121.13465","30.792042","0"
"GRID054024","121.139925","30.792042","0"
"GRID055024","121.145201","30.792042","0"
"GRID056024","121.150476","30.792042","0"
"GRID057024","121.155752","30.792042","0"
"GRID058024","121.161027","30.792042","0"
"GRID059024","121.166303","30.792042","0"
"GRID060024","121.171579","30.792042","0"
"GRID061024","121.176854","30.792042","0"
"GRID062024","121.18213","30.792042","0"
"GRID063024","121.187405","30.792042","0"
"GRID064024","121.192681","30.792042","367"
"GRID065024","121.197956","30.792042","0"
"GRID066024","121.203232","30.792042","0"
"GRID067024","121.208507","30.792042","7"
"GRID068024","121.213783","30.792042","0"
"GRID069024","121.219059","30.792042","0"
"GRID070024","121.224334","30.792042","0"
"GRID071024","121.22961","30.792042","0"
"GRID072024","121.234885","30.792042","0"
"GRID073024","121.240161","30.792042","0"
"GRID074024","121.245436","30.792042","0"
"GRID075024","121.250712","30.792042","162"
"GRID076024","121.255987","30.792042","102"
"GRID077024","121.261263","30.792042","0"
"GRID078024","121.266538","30.792042","0"
"GRID079024","121.271814","30.792042","0"
"GRID080024","121.27709","30.792042","0"
"GRID081024","121.282365","30.792042","39"
"GRID082024","121.287641","30.792042","0"
"GRID083024","121.292916","30.792042","0"
"GRID084024","121.298192","30.792042","0"
"GRID085024","121.303467","30.792042","0"
"GRID086024","121.308743","30.792042","0"
"GRID087024","121.314018","30.792042","0"
"GRID088024","121.319294","30.792042","0"
"GRID089024","121.324569","30.792042","0"
"GRID090024","121.329845","30.792042","0"
"GRID091024","121.335121","30.792042","65"
"GRID092024","121.340396","30.792042","4"
"GRID093024","121.345672","30.792042","66"
"GRID094024","121.350947","30.792042","0"
"GRID095024","121.356223","30.792042","0"
"GRID096024","121.361498","30.792042","0"
"GRID107000","121.419529","30.684244","0"
"GRID108000","121.424805","30.684244","0"
"GRID107001","121.419529","30.688735","0"
"GRID108001","121.424805","30.688735","0"
"GRID078002","121.266538","30.693227","0"
"GRID079002","121.271814","30.693227","0"
"GRID080002","121.27709","30.693227","0"
"GRID106002","121.414254","30.693227","0"
"GRID107002","121.419529","30.693227","0"
"GRID108002","121.424805","30.693227","0"
"GRID078003","121.266538","30.697719","0"
"GRID079003","121.271814","30.697719","0"
"GRID080003","121.27709","30.697719","0"
"GRID081003","121.282365","30.697719","119"
"GRID082003","121.287641","30.697719","0"
